timestamp,event_type,value
1745418784.8157675,tick,"{'v1': 0, 'v2': 0, 'v3': 0}"
1745418784.815779,tick,"{'v1': 1, 'v2': 2, 'v3': 3}"
1745418784.815785,tick,"{'v1': 2, 'v2': 4, 'v3': 6}"
1745418784.8157892,tick,"{'v1': 3, 'v2': 6, 'v3': 9}"
1745418784.8157928,tick,"{'v1': 4, 'v2': 8, 'v3': 12}"
1745418784.8157964,tick,"{'v1': 5, 'v2': 10, 'v3': 15}"
1745418784.8158,tick,"{'v1': 6, 'v2': 12, 'v3': 18}"
1745418784.8158033,tick,"{'v1': 7, 'v2': 14, 'v3': 21}"
1745418784.8158066,tick,"{'v1': 8, 'v2': 16, 'v3': 24}"
1745418784.8158102,tick,"{'v1': 9, 'v2': 18, 'v3': 27}"
1745418784.8158135,tick,"{'v1': 10, 'v2': 20, 'v3': 30}"
1745418784.815817,tick,"{'v1': 11, 'v2': 22, 'v3': 33}"
1745418784.8158205,tick,"{'v1': 12, 'v2': 24, 'v3': 36}"
1745418784.815824,tick,"{'v1': 13, 'v2': 26, 'v3': 39}"
1745418784.8158274,tick,"{'v1': 14, 'v2': 28, 'v3': 42}"
1745418784.8158307,tick,"{'v1': 15, 'v2': 30, 'v3': 45}"
1745418784.8158343,tick,"{'v1': 16, 'v2': 32, 'v3': 48}"
1745418784.8158376,tick,"{'v1': 17, 'v2': 34, 'v3': 51}"
1745418784.815841,tick,"{'v1': 18, 'v2': 36, 'v3': 54}"
1745418784.8158443,tick,"{'v1': 19, 'v2': 38, 'v3': 57}"
1745418784.8158476,tick,"{'v1': 20, 'v2': 40, 'v3': 60}"
1745418784.8158512,tick,"{'v1': 21, 'v2': 42, 'v3': 63}"
1745418784.8158545,tick,"{'v1': 22, 'v2': 44, 'v3': 66}"
1745418784.815858,tick,"{'v1': 23, 'v2': 46, 'v3': 69}"
1745418784.8158612,tick,"{'v1': 24, 'v2': 48, 'v3': 72}"
1745418784.8158646,tick,"{'v1': 25, 'v2': 50, 'v3': 75}"
1745418784.815868,tick,"{'v1': 26, 'v2': 52, 'v3': 78}"
1745418784.8158712,tick,"{'v1': 27, 'v2': 54, 'v3': 81}"
1745418784.8158746,tick,"{'v1': 28, 'v2': 56, 'v3': 84}"
1745418784.815878,tick,"{'v1': 29, 'v2': 58, 'v3': 87}"
1745418784.8158813,tick,"{'v1': 30, 'v2': 60, 'v3': 90}"
1745418784.8158846,tick,"{'v1': 31, 'v2': 62, 'v3': 93}"
1745418784.815888,tick,"{'v1': 32, 'v2': 64, 'v3': 96}"
1745418784.815898,tick,"{'v1': 33, 'v2': 66, 'v3': 99}"
1745418784.8159018,tick,"{'v1': 34, 'v2': 68, 'v3': 102}"
1745418784.8159053,tick,"{'v1': 35, 'v2': 70, 'v3': 105}"
1745418784.8159087,tick,"{'v1': 36, 'v2': 72, 'v3': 108}"
1745418784.815912,tick,"{'v1': 37, 'v2': 74, 'v3': 111}"
1745418784.8159153,tick,"{'v1': 38, 'v2': 76, 'v3': 114}"
1745418784.8159187,tick,"{'v1': 39, 'v2': 78, 'v3': 117}"
1745418784.8159223,tick,"{'v1': 40, 'v2': 80, 'v3': 120}"
1745418784.8159256,tick,"{'v1': 41, 'v2': 82, 'v3': 123}"
1745418784.815929,tick,"{'v1': 42, 'v2': 84, 'v3': 126}"
1745418784.8159323,tick,"{'v1': 43, 'v2': 86, 'v3': 129}"
1745418784.8159373,tick,"{'v1': 44, 'v2': 88, 'v3': 132}"
1745418784.8159409,tick,"{'v1': 45, 'v2': 90, 'v3': 135}"
1745418784.8159442,tick,"{'v1': 46, 'v2': 92, 'v3': 138}"
1745418784.8159475,tick,"{'v1': 47, 'v2': 94, 'v3': 141}"
1745418784.8159509,tick,"{'v1': 48, 'v2': 96, 'v3': 144}"
1745418784.8159542,tick,"{'v1': 49, 'v2': 98, 'v3': 147}"
1745418784.8159575,tick,"{'v1': 50, 'v2': 100, 'v3': 150}"
1745418784.8159611,tick,"{'v1': 51, 'v2': 102, 'v3': 153}"
1745418784.8159645,tick,"{'v1': 52, 'v2': 104, 'v3': 156}"
1745418784.8159678,tick,"{'v1': 53, 'v2': 106, 'v3': 159}"
1745418784.8159711,tick,"{'v1': 54, 'v2': 108, 'v3': 162}"
1745418784.8159745,tick,"{'v1': 55, 'v2': 110, 'v3': 165}"
1745418784.8159778,tick,"{'v1': 56, 'v2': 112, 'v3': 168}"
1745418784.8159811,tick,"{'v1': 57, 'v2': 114, 'v3': 171}"
1745418784.8159845,tick,"{'v1': 58, 'v2': 116, 'v3': 174}"
1745418784.8159878,tick,"{'v1': 59, 'v2': 118, 'v3': 177}"
1745418784.815991,tick,"{'v1': 60, 'v2': 120, 'v3': 180}"
1745418784.8159943,tick,"{'v1': 61, 'v2': 122, 'v3': 183}"
1745418784.8159976,tick,"{'v1': 62, 'v2': 124, 'v3': 186}"
1745418784.816001,tick,"{'v1': 63, 'v2': 126, 'v3': 189}"
1745418784.8160045,tick,"{'v1': 64, 'v2': 128, 'v3': 192}"
1745418784.8160079,tick,"{'v1': 65, 'v2': 130, 'v3': 195}"
1745418784.8160112,tick,"{'v1': 66, 'v2': 132, 'v3': 198}"
1745418784.8160148,tick,"{'v1': 67, 'v2': 134, 'v3': 201}"
1745418784.816018,tick,"{'v1': 68, 'v2': 136, 'v3': 204}"
1745418784.8160214,tick,"{'v1': 69, 'v2': 138, 'v3': 207}"
1745418784.8160248,tick,"{'v1': 70, 'v2': 140, 'v3': 210}"
1745418784.816028,tick,"{'v1': 71, 'v2': 142, 'v3': 213}"
1745418784.8160315,tick,"{'v1': 72, 'v2': 144, 'v3': 216}"
1745418784.8160348,tick,"{'v1': 73, 'v2': 146, 'v3': 219}"
1745418784.8160381,tick,"{'v1': 74, 'v2': 148, 'v3': 222}"
1745418784.8160415,tick,"{'v1': 75, 'v2': 150, 'v3': 225}"
1745418784.8160453,tick,"{'v1': 76, 'v2': 152, 'v3': 228}"
1745418784.8160486,tick,"{'v1': 77, 'v2': 154, 'v3': 231}"
1745418784.816052,tick,"{'v1': 78, 'v2': 156, 'v3': 234}"
1745418784.8160553,tick,"{'v1': 79, 'v2': 158, 'v3': 237}"
1745418784.816062,tick,"{'v1': 80, 'v2': 160, 'v3': 240}"
1745418784.8160655,tick,"{'v1': 81, 'v2': 162, 'v3': 243}"
1745418784.816069,tick,"{'v1': 82, 'v2': 164, 'v3': 246}"
1745418784.8160725,tick,"{'v1': 83, 'v2': 166, 'v3': 249}"
1745418784.8160758,tick,"{'v1': 84, 'v2': 168, 'v3': 252}"
1745418784.8160791,tick,"{'v1': 85, 'v2': 170, 'v3': 255}"
1745418784.8160825,tick,"{'v1': 86, 'v2': 172, 'v3': 258}"
1745418784.8160865,tick,"{'v1': 87, 'v2': 174, 'v3': 261}"
1745418784.8160899,tick,"{'v1': 88, 'v2': 176, 'v3': 264}"
1745418784.8160932,tick,"{'v1': 89, 'v2': 178, 'v3': 267}"
1745418784.8160965,tick,"{'v1': 90, 'v2': 180, 'v3': 270}"
1745418784.8161,tick,"{'v1': 91, 'v2': 182, 'v3': 273}"
1745418784.8161035,tick,"{'v1': 92, 'v2': 184, 'v3': 276}"
1745418784.8161068,tick,"{'v1': 93, 'v2': 186, 'v3': 279}"
1745418784.8161101,tick,"{'v1': 94, 'v2': 188, 'v3': 282}"
1745418784.8161137,tick,"{'v1': 95, 'v2': 190, 'v3': 285}"
1745418784.816117,tick,"{'v1': 96, 'v2': 192, 'v3': 288}"
1745418784.8161204,tick,"{'v1': 97, 'v2': 194, 'v3': 291}"
1745418784.8161237,tick,"{'v1': 98, 'v2': 196, 'v3': 294}"
1745418784.816127,tick,"{'v1': 99, 'v2': 198, 'v3': 297}"
1745418784.8161304,tick,"{'v1': 100, 'v2': 200, 'v3': 300}"
1745418784.8161337,tick,"{'v1': 101, 'v2': 202, 'v3': 303}"
1745418784.816137,tick,"{'v1': 102, 'v2': 204, 'v3': 306}"
1745418784.8161402,tick,"{'v1': 103, 'v2': 206, 'v3': 309}"
1745418784.816144,tick,"{'v1': 104, 'v2': 208, 'v3': 312}"
1745418784.8161469,tick,"{'v1': 105, 'v2': 210, 'v3': 315}"
1745418784.8161652,tick,"{'v1': 106, 'v2': 212, 'v3': 318}"
1745418784.8161688,tick,"{'v1': 107, 'v2': 214, 'v3': 321}"
1745418784.8161724,tick,"{'v1': 108, 'v2': 216, 'v3': 324}"
1745418784.8161757,tick,"{'v1': 109, 'v2': 218, 'v3': 327}"
1745418784.816179,tick,"{'v1': 110, 'v2': 220, 'v3': 330}"
1745418784.8161824,tick,"{'v1': 111, 'v2': 222, 'v3': 333}"
1745418784.816186,tick,"{'v1': 112, 'v2': 224, 'v3': 336}"
1745418784.8161893,tick,"{'v1': 113, 'v2': 226, 'v3': 339}"
1745418784.8161926,tick,"{'v1': 114, 'v2': 228, 'v3': 342}"
1745418784.8161962,tick,"{'v1': 115, 'v2': 230, 'v3': 345}"
1745418784.8162007,tick,"{'v1': 116, 'v2': 232, 'v3': 348}"
1745418784.8162045,tick,"{'v1': 117, 'v2': 234, 'v3': 351}"
1745418784.816208,tick,"{'v1': 118, 'v2': 236, 'v3': 354}"
1745418784.8162115,tick,"{'v1': 119, 'v2': 238, 'v3': 357}"
1745418784.8162148,tick,"{'v1': 120, 'v2': 240, 'v3': 360}"
1745418784.8162184,tick,"{'v1': 121, 'v2': 242, 'v3': 363}"
1745418784.8162217,tick,"{'v1': 122, 'v2': 244, 'v3': 366}"
1745418784.816225,tick,"{'v1': 123, 'v2': 246, 'v3': 369}"
1745418784.8162286,tick,"{'v1': 124, 'v2': 248, 'v3': 372}"
1745418784.816232,tick,"{'v1': 125, 'v2': 250, 'v3': 375}"
1745418784.8162355,tick,"{'v1': 126, 'v2': 252, 'v3': 378}"
1745418784.8162389,tick,"{'v1': 127, 'v2': 254, 'v3': 381}"
1745418784.8162425,tick,"{'v1': 128, 'v2': 256, 'v3': 384}"
1745418784.8162458,tick,"{'v1': 129, 'v2': 258, 'v3': 387}"
1745418784.8162496,tick,"{'v1': 130, 'v2': 260, 'v3': 390}"
1745418784.8162532,tick,"{'v1': 131, 'v2': 262, 'v3': 393}"
1745418784.8162565,tick,"{'v1': 132, 'v2': 264, 'v3': 396}"
1745418784.81626,tick,"{'v1': 133, 'v2': 266, 'v3': 399}"
1745418784.8162634,tick,"{'v1': 134, 'v2': 268, 'v3': 402}"
1745418784.8162668,tick,"{'v1': 135, 'v2': 270, 'v3': 405}"
